,gameId,win,diffLevel,diffKill,diffTower,diffDragon,diffWinrate
0,4247263043,0,-4,-6,-2,-2,14.52
1,4247155821,1,-2,-1,-1,0,11.76
2,4243963257,0,-9,-15,-4,-2,8.23
3,4241678498,0,-2,-7,-1,1,-1.29
4,4241538868,1,-3,-1,-1,1,-1.19
5,4241394461,1,-2,0,1,-1,0.01
6,4233222221,0,-2,-3,1,-2,-3.37
7,4233113995,1,2,2,0,0,4.89
8,4231100932,1,-1,-2,0,0,-1.68
9,4229230455,1,4,5,1,1,1.22
10,4229039003,0,-1,1,0,0,-20.66
11,4228952659,1,8,10,2,1,-8.22
12,4228244819,1,1,4,0,2,-8.03
13,4227123625,0,-2,-8,0,-1,-4.84
14,4222795586,1,2,1,0,0,2.94
15,4222632382,0,-2,-5,0,-2,6.95
16,4219736584,0,1,-1,2,0,-0.63
17,4219647531,1,6,10,2,2,-0.11
18,4219545724,0,0,-4,1,-1,-16.42
19,4219463634,1,5,6,-1,1,-12.29
20,4217069365,1,2,2,-1,2,-11.12
21,4216998163,0,1,-6,-1,2,10.48
22,4214820366,1,1,4,1,2,1.78
23,4208036316,0,-1,2,-1,0,-2.23
24,4205806443,1,-3,-1,0,-1,-7.3
25,4205778093,1,10,20,3,2,2.82
26,4205718397,1,6,7,-2,1,-1.21
27,4205609024,1,2,5,-2,-1,19.41
28,4201063474,0,-2,5,-1,1,-10.16
29,4201002719,0,-1,-5,0,-2,-3.43
30,4200860184,1,2,3,0,2,-15.47
31,4191943697,0,0,3,0,0,-0.58
32,4191827488,0,-2,-4,-1,2,0.08
33,4186297500,1,0,-2,0,-1,1.04
34,4186224914,1,1,0,-1,0,9.44
35,4186016838,1,2,6,0,0,-2.63
36,4185880938,1,2,2,0,2,-3.6
37,4183509170,1,-1,-1,-2,-2,-4.71
38,4183404231,1,-2,-9,-3,-2,-12.63
39,4169877994,1,2,7,0,2,-13.44
40,4169807983,1,5,4,2,2,-9.01
41,4169722149,1,2,9,0,1,-13.33
42,4169630150,1,8,8,-3,2,17.8
43,4163513474,0,-4,-10,-4,0,-5.8
44,4161051062,0,-1,2,0,0,5.59
45,4160473191,0,-2,-7,0,-1,3.66
